Origin Name,Origin Code,Destination Name,Destination Code,Departure Date,Arrival Date,Duration,Operator,Transport Type,Fare,Origin ID,Destination ID,Service ID
Bridgwater,183,Bristol Airport,249,28/10/2024 11:30,2024-10-28T12:23:00,PT53M,megabus Falcon,coach,11.2,183,249,85529036
Bridgwater,183,Bristol Airport,249,28/10/2024 12:47,2024-10-28T13:40:00,PT53M,megabus Falcon,coach,9.25,183,249,85538024
Bridgwater,183,Bristol Airport,249,28/10/2024 13:45,2024-10-28T14:38:00,PT53M,megabus Falcon,coach,9.25,183,249,85549532
Bridgwater,183,Bristol Airport,249,28/10/2024 14:45,2024-10-28T15:38:00,PT53M,megabus Falcon,coach,9.25,183,249,85559780
Bridgwater,183,Bristol Airport,249,28/10/2024 15:47,2024-10-28T16:39:00,PT52M,megabus Falcon,coach,9.25,183,249,85571708
Bridgwater,183,Bristol Airport,249,28/10/2024 16:48,2024-10-28T17:41:00,PT53M,megabus Falcon,coach,9.25,183,249,85581956
Bridgwater,183,Bristol Airport,249,28/10/2024 17:51,2024-10-28T18:44:00,PT53M,megabus Falcon,coach,9.25,183,249,85592204
Bridgwater,183,Bristol Airport,249,28/10/2024 18:49,2024-10-28T19:41:00,PT52M,megabus Falcon,coach,9.25,183,249,85602452
Bridgwater,183,Bristol Airport,249,28/10/2024 20:03,2024-10-28T20:54:00,PT51M,megabus Falcon,coach,9.25,183,249,85611020
Bridgwater,183,Bristol Airport,249,28/10/2024 21:13,2024-10-28T22:03:00,PT50M,megabus Falcon,coach,9.25,183,249,85621268
Bridgwater,183,Bristol Airport,249,28/10/2024 23:13,2024-10-29T00:03:00,PT50M,megabus Falcon,coach,9.25,183,249,85631516
Bridgwater,183,Bristol Airport,249,29/10/2024 01:13,2024-10-29T02:03:00,PT50M,megabus Falcon,coach,9.25,183,249,85641764
Bridgwater,183,Bristol Airport,249,29/10/2024 03:12,2024-10-29T04:03:00,PT51M,megabus Falcon,coach,11.2,183,249,85427113
Bridgwater,183,Bristol Airport,249,29/10/2024 04:12,2024-10-29T05:03:00,PT51M,megabus Falcon,coach,11.2,183,249,85437361
Bridgwater,183,Bristol Airport,249,29/10/2024 05:12,2024-10-29T06:03:00,PT51M,megabus Falcon,coach,11.2,183,249,85447609
Bridgwater,183,Bristol Airport,249,29/10/2024 06:12,2024-10-29T07:03:00,PT51M,megabus Falcon,coach,11.2,183,249,85457857
Bridgwater,183,Bristol Airport,249,29/10/2024 07:13,2024-10-29T08:04:00,PT51M,megabus Falcon,coach,11.2,183,249,85488072
Bridgwater,183,Bristol Airport,249,29/10/2024 08:14,2024-10-29T09:03:00,PT49M,megabus Falcon,coach,11.2,183,249,85498320
Bridgwater,183,Bristol Airport,249,29/10/2024 09:20,2024-10-29T10:13:00,PT53M,megabus Falcon,coach,11.2,183,249,85510248
Bridgwater,183,Bristol Airport,249,29/10/2024 10:20,2024-10-29T11:13:00,PT53M,megabus Falcon,coach,11.2,183,249,85520496
Bridgwater,183,Bristol Airport,249,29/10/2024 11:30,2024-10-29T12:23:00,PT53M,megabus Falcon,coach,11.2,183,249,85529064
Bridgwater,183,Bristol Airport,249,29/10/2024 12:47,2024-10-29T13:40:00,PT53M,megabus Falcon,coach,9.25,183,249,85538052
Bridgwater,183,Bristol Airport,249,29/10/2024 13:45,2024-10-29T14:38:00,PT53M,megabus Falcon,coach,9.25,183,249,85549560
Bridgwater,183,Bristol Airport,249,29/10/2024 14:45,2024-10-29T15:38:00,PT53M,megabus Falcon,coach,9.25,183,249,85559808
Bridgwater,183,Bristol Airport,249,29/10/2024 15:47,2024-10-29T16:39:00,PT52M,megabus Falcon,coach,9.25,183,249,85571736
Bridgwater,183,Bristol Airport,249,29/10/2024 16:48,2024-10-29T17:41:00,PT53M,megabus Falcon,coach,9.25,183,249,85581984
Bridgwater,183,Bristol Airport,249,29/10/2024 17:51,2024-10-29T18:44:00,PT53M,megabus Falcon,coach,9.25,183,249,85592232
Bridgwater,183,Bristol Airport,249,29/10/2024 18:49,2024-10-29T19:41:00,PT52M,megabus Falcon,coach,9.25,183,249,85602480
Bridgwater,183,Bristol Airport,249,29/10/2024 20:03,2024-10-29T20:54:00,PT51M,megabus Falcon,coach,9.25,183,249,85611048
Bridgwater,183,Bristol Airport,249,29/10/2024 21:13,2024-10-29T22:03:00,PT50M,megabus Falcon,coach,9.25,183,249,85621296
Bridgwater,183,Bristol Airport,249,29/10/2024 23:13,2024-10-30T00:03:00,PT50M,megabus Falcon,coach,9.25,183,249,85631544
Bridgwater,183,Bristol Airport,249,30/10/2024 01:13,2024-10-30T02:03:00,PT50M,megabus Falcon,coach,9.25,183,249,85641792
Bridgwater,183,Bristol Airport,249,30/10/2024 03:12,2024-10-30T04:03:00,PT51M,megabus Falcon,coach,11.2,183,249,85427141
Bridgwater,183,Bristol Airport,249,30/10/2024 04:12,2024-10-30T05:03:00,PT51M,megabus Falcon,coach,11.2,183,249,85437389
Bridgwater,183,Bristol Airport,249,30/10/2024 05:12,2024-10-30T06:03:00,PT51M,megabus Falcon,coach,11.2,183,249,85447637
Bridgwater,183,Bristol Airport,249,30/10/2024 06:12,2024-10-30T07:03:00,PT51M,megabus Falcon,coach,11.2,183,249,85457885
Bridgwater,183,Bristol Airport,249,30/10/2024 07:13,2024-10-30T08:04:00,PT51M,megabus Falcon,coach,11.2,183,249,85488100
Bridgwater,183,Bristol Airport,249,30/10/2024 08:14,2024-10-30T09:03:00,PT49M,megabus Falcon,coach,11.2,183,249,85498348
Bridgwater,183,Bristol Airport,249,30/10/2024 09:20,2024-10-30T10:13:00,PT53M,megabus Falcon,coach,11.2,183,249,85510276
Bridgwater,183,Bristol Airport,249,30/10/2024 10:20,2024-10-30T11:13:00,PT53M,megabus Falcon,coach,11.2,183,249,85520524
Bridgwater,183,Bristol Airport,249,30/10/2024 11:30,2024-10-30T12:23:00,PT53M,megabus Falcon,coach,11.2,183,249,85529092
Bridgwater,183,Bristol Airport,249,30/10/2024 12:47,2024-10-30T13:40:00,PT53M,megabus Falcon,coach,9.25,183,249,85538080
Bridgwater,183,Bristol Airport,249,30/10/2024 13:45,2024-10-30T14:38:00,PT53M,megabus Falcon,coach,9.25,183,249,85549588
Bridgwater,183,Bristol Airport,249,30/10/2024 14:45,2024-10-30T15:38:00,PT53M,megabus Falcon,coach,9.25,183,249,85559836
Bridgwater,183,Bristol Airport,249,30/10/2024 15:47,2024-10-30T16:39:00,PT52M,megabus Falcon,coach,9.25,183,249,85571764
